70	sample1_nopolyA_ext70_cluster_6435	chrM	9327	9396	70:1	+	1	chrM	2k_up	7876	9875	+	.	NM_001163773	Gm10222	Gm10222:chrM:9876-10417:+
70	sample1_nopolyA_ext70_cluster_2822	chr17	29483500	29483569	70:2	-	2	chr17	intron	29479853	29484411	-	.	NM_019880	Mtch1	Mtch1:chr17:29469021-29484849:-
70	sample1_nopolyA_ext70_cluster_3349	chr2	29514886	29514955	70:3	+	3	chr2	intron	29475584	29534652	+	.	NM_001039086	Rapgef1	Rapgef1:chr2:29475240-29595883:+
70	sample1_nopolyA_ext70_cluster_3349	chr2	29514886	29514955	70:3	+	3	chr2	intron	29475584	29534652	+	.	NM_001039087	Rapgef1	Rapgef1:chr2:29475240-29595883:+
70	sample1_nopolyA_ext70_cluster_3349	chr2	29514886	29514955	70:3	+	3	chr2	intron	29475584	29534652	+	.	NM_054050	Rapgef1	Rapgef1:chr2:29475240-29595883:+
70	sample1_nopolyA_ext70_cluster_4825	chr5	29559069	29559138	70:1	-	1	chr5	3UTR	29556342	29559603	-	-1	NM_020295	Lmbr1	Lmbr1:chr5:29556342-29704930:-
70	sample1_nopolyA_ext70_cluster_4825	chr5	29559069	29559138	70:1	-	1	chr5	exon	29556342	29559688	-	1	NM_020295	Lmbr1	Lmbr1:chr5:29556342-29704930:-
70	sample1_nopolyA_ext70_cluster_6299	chr9	29606302	29606371	70:3	-	3	chr9	intron	29219226	29770429	-	.	NM_172290	Ntm	Ntm:chr9:28803549-29770714:-
70	sample1_nopolyA_ext70_cluster_798	chr11	29634193	29634262	70:2	+	2	chr11	intron	29633841	29636359	+	.	NM_024226	Rtn4	Rtn4:chr11:29592947-29642916:+
70	sample1_nopolyA_ext70_cluster_798	chr11	29634193	29634262	70:2	+	2	chr11	intron	29633841	29636359	+	.	NM_194051	Rtn4	Rtn4:chr11:29592947-29642916:+
70	sample1_nopolyA_ext70_cluster_798	chr11	29634193	29634262	70:2	+	2	chr11	intron	29633841	29636359	+	.	NM_194052	Rtn4	Rtn4:chr11:29592947-29642916:+
70	sample1_nopolyA_ext70_cluster_798	chr11	29634193	29634262	70:2	+	2	chr11	intron	29633841	29636359	+	.	NM_194053	Rtn4	Rtn4:chr11:29592947-29642916:+
70	sample1_nopolyA_ext70_cluster_798	chr11	29634193	29634262	70:2	+	2	chr11	intron	29633841	29636359	+	.	NM_194054	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	CDS	29641695	29641753	+	0	NM_024226	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	CDS	29641695	29641753	+	0	NM_194051	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	CDS	29641695	29641753	+	0	NM_194052	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	CDS	29641695	29641753	+	0	NM_194053	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	CDS	29641695	29641753	+	0	NM_194054	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	exon	29641695	29641753	+	0	NM_024226	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	exon	29641695	29641753	+	0	NM_194051	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	exon	29641695	29641753	+	0	NM_194052	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	exon	29641695	29641753	+	0	NM_194053	Rtn4	Rtn4:chr11:29592947-29642916:+
44	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	exon	29641695	29641753	+	0	NM_194054	Rtn4	Rtn4:chr11:29592947-29642916:+
26	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	intron	29641754	29641986	+	.	NM_024226	Rtn4	Rtn4:chr11:29592947-29642916:+
26	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	intron	29641754	29641986	+	.	NM_194051	Rtn4	Rtn4:chr11:29592947-29642916:+
26	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	intron	29641754	29641986	+	.	NM_194052	Rtn4	Rtn4:chr11:29592947-29642916:+
26	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	intron	29641754	29641986	+	.	NM_194053	Rtn4	Rtn4:chr11:29592947-29642916:+
26	sample1_nopolyA_ext70_cluster_799	chr11	29641710	29641779	70:1	+	1	chr11	intron	29641754	29641986	+	.	NM_194054	Rtn4	Rtn4:chr11:29592947-29642916:+
70	sample1_nopolyA_ext70_cluster_983	chr11	29735969	29736038	70:1	-	1	chr11	intron	29733223	29738426	-	.	NM_146016	C230094A16Rik	C230094A16Rik:chr11:29643051-29926033:-
70	sample1_nopolyA_ext70_cluster_1959	chr14	29742427	29742496	70:3	-	3	chr14	intron	29721585	29756742	-	.	NM_009785	Cacna2d3	Cacna2d3:chr14:29718129-30535050:-
70	sample1_nopolyA_ext70_cluster_3350	chr2	29755619	29755688	70:1	+	1	chr2	intron	29749033	29756596	+	.	NM_013615	Odf2	Odf2:chr2:29745240-29787266:+
70	sample1_nopolyA_ext70_cluster_3350	chr2	29755619	29755688	70:1	+	1	chr2	intron	29749090	29756596	+	.	NM_001113213	Odf2	Odf2:chr2:29745240-29787266:+
70	sample1_nopolyA_ext70_cluster_3350	chr2	29755619	29755688	70:1	+	1	chr2	intron	29749090	29756596	+	.	NM_001113214	Odf2	Odf2:chr2:29745240-29787266:+
70	sample1_nopolyA_ext70_cluster_5028	chr6	29767655	29767724	70:1	+	1	chr6	intron	29718907	29813139	+	.	NM_021414	Ahcyl2	Ahcyl2:chr6:29718533-29862309:+
70	sample1_nopolyA_ext70_cluster_1960	chr14	29816684	29816753	70:1	-	1	chr14	intron	29795560	29856686	-	.	NM_009785	Cacna2d3	Cacna2d3:chr14:29718129-30535050:-
70	sample1_nopolyA_ext70_cluster_3351	chr2	29885561	29885630	70:1	+	1	chr2	CDS	29885520	29885716	+	0	NM_001076554	Spna2	Spna2:chr2:29821080-29886970:+
70	sample1_nopolyA_ext70_cluster_3351	chr2	29885561	29885630	70:1	+	1	chr2	exon	29885520	29885716	+	0	NM_001076554	Spna2	Spna2:chr2:29821080-29886970:+
70	sample1_nopolyA_ext70_cluster_984	chr11	29907563	29907632	70:2	-	2	chr11	intron	29806332	29924379	-	.	NM_146016	C230094A16Rik	C230094A16Rik:chr11:29643051-29926033:-
37	sample1_nopolyA_ext70_cluster_3352	chr2	29923810	29923879	70:1	+	1	chr2	CDS	29923789	29923846	+	1	NM_023871	Set	Set:chr2:29917563-29927314:+
37	sample1_nopolyA_ext70_cluster_3352	chr2	29923810	29923879	70:1	+	1	chr2	exon	29923789	29923846	+	1	NM_023871	Set	Set:chr2:29917563-29927314:+
33	sample1_nopolyA_ext70_cluster_3352	chr2	29923810	29923879	70:1	+	1	chr2	intron	29923847	29924479	+	.	NM_023871	Set	Set:chr2:29917563-29927314:+
70	sample1_nopolyA_ext70_cluster_4620	chr5	29952970	29953039	70:1	+	1	chr5	intron	29946328	29957731	+	.	NM_133907	Ube3c	Ube3c:chr5:29895782-30002617:+
70	sample1_nopolyA_ext70_cluster_3174	chr19	30026099	30026168	70:2	+	2	chr19	intron	30024258	30026465	+	.	NM_133775	Il33	Il33:chr19:29999627-30035207:+
70	sample1_nopolyA_ext70_cluster_5029	chr6	30036868	30036937	70:3	+	3	chr6	intron	29998114	30038832	+	.	NM_010938	Nrf1	Nrf1:chr6:29997988-30103458:+
70	sample1_nopolyA_ext70_cluster_5590	chr7	30051668	30051737	70:1	-	1	chr7	intron	30045450	30066530	-	.	NM_001082548	Spint2	Spint2:chr7:30041349-30066996:-
70	sample1_nopolyA_ext70_cluster_5590	chr7	30051668	30051737	70:1	-	1	chr7	intron	30048785	30066530	-	.	NM_011464	Spint2	Spint2:chr7:30041349-30066996:-
11	sample1_nopolyA_ext70_cluster_985	chr11	30059283	30059352	70:1	-	1	chr11	intron	30054403	30059293	-	.	NM_009260	Spnb2	Spnb2:chr11:29999395-30119772:-
11	sample1_nopolyA_ext70_cluster_985	chr11	30059283	30059352	70:1	-	1	chr11	intron	30054403	30059293	-	.	NM_175836	Spnb2	Spnb2:chr11:29999395-30119772:-
59	sample1_nopolyA_ext70_cluster_985	chr11	30059283	30059352	70:1	-	1	chr11	CDS	30059294	30059445	-	1	NM_009260	Spnb2	Spnb2:chr11:29999395-30119772:-
59	sample1_nopolyA_ext70_cluster_985	chr11	30059283	30059352	70:1	-	1	chr11	CDS	30059294	30059445	-	1	NM_175836	Spnb2	Spnb2:chr11:29999395-30119772:-
59	sample1_nopolyA_ext70_cluster_985	chr11	30059283	30059352	70:1	-	1	chr11	exon	30059294	30059445	-	1	NM_009260	Spnb2	Spnb2:chr11:29999395-30119772:-
59	sample1_nopolyA_ext70_cluster_985	chr11	30059283	30059352	70:1	-	1	chr11	exon	30059294	30059445	-	1	NM_175836	Spnb2	Spnb2:chr11:29999395-30119772:-
70	sample1_nopolyA_ext70_cluster_2130	chr15	30123620	30123689	70:2	+	2	chr15	intron	30102919	30261764	+	.	NM_008729	Ctnnd2	Ctnnd2:chr15:30102348-30959098:+
70	sample1_nopolyA_ext70_cluster_5208	chr6	30191190	30191259	70:1	-	1	chr6	intron	30171797	30191371	-	.	NM_009459	Ube2h	Ube2h:chr6:30162965-30254345:-
70	sample1_nopolyA_ext70_cluster_3253	chr19	30234276	30234345	70:1	-	1	chr19	intron	30233140	30248913	-	.	NM_138595	Gldc	Gldc:chr19:30172937-30249908:-
70	sample1_nopolyA_ext70_cluster_1961	chr14	30302858	30302927	70:1	-	1	chr14	intron	30281143	30347666	-	.	NM_009785	Cacna2d3	Cacna2d3:chr14:29718129-30535050:-
70	sample1_nopolyA_ext70_cluster_4621	chr5	30339448	30339517	70:1	+	1	chr5	2k_up	30337701	30339700	+	.	NM_031168	Il6	Il6:chr5:30339701-30346508:+
70	sample1_nopolyA_ext70_cluster_5030	chr6	30365201	30365270	70:4	+	4	chr6	intron	30352151	30377708	+	.	NM_029742	Klhdc10	Klhdc10:chr6:30351909-30405174:+
70	sample1_nopolyA_ext70_cluster_2131	chr15	30365952	30366021	70:1	+	1	chr15	intron	30261902	30410536	+	.	NM_008729	Ctnnd2	Ctnnd2:chr15:30102348-30959098:+
70	sample1_nopolyA_ext70_cluster_2132	chr15	30453629	30453698	70:1	+	1	chr15	intron	30410650	30548976	+	.	NM_008729	Ctnnd2	Ctnnd2:chr15:30102348-30959098:+
70	sample1_nopolyA_ext70_cluster_986	chr11	30462956	30463025	70:2	-	2	chr11	intron	30406440	30532207	-	.	NM_029344	Acyp2	Acyp2:chr11:30405992-30549396:-
70	sample1_nopolyA_ext70_cluster_1962	chr14	30482157	30482226	70:2	-	2	chr14	intron	30347784	30534057	-	.	NM_009785	Cacna2d3	Cacna2d3:chr14:29718129-30535050:-
70	sample1_nopolyA_ext70_cluster_1963	chr14	30506149	30506218	70:1	-	1	chr14	intron	30347784	30534057	-	.	NM_009785	Cacna2d3	Cacna2d3:chr14:29718129-30535050:-
70	sample1_nopolyA_ext70_cluster_1189	chr12	30517796	30517865	70:3	+	3	chr12	intron	30517288	30521214	+	.	NM_001093775	Myt1l	Myt1l:chr12:30213249-30608074:+
70	sample1_nopolyA_ext70_cluster_1189	chr12	30517796	30517865	70:3	+	3	chr12	intron	30517288	30521214	+	.	NM_001093776	Myt1l	Myt1l:chr12:30213249-30608074:+
70	sample1_nopolyA_ext70_cluster_1189	chr12	30517796	30517865	70:3	+	3	chr12	intron	30517288	30521214	+	.	NM_001093778	Myt1l	Myt1l:chr12:30213249-30608074:+
70	sample1_nopolyA_ext70_cluster_1189	chr12	30517796	30517865	70:3	+	3	chr12	intron	30517288	30521214	+	.	NM_008666	Myt1l	Myt1l:chr12:30213249-30608074:+
70	sample1_nopolyA_ext70_cluster_1964	chr14	30529672	30529741	70:8	-	8	chr14	intron	30347784	30534057	-	.	NM_009785	Cacna2d3	Cacna2d3:chr14:29718129-30535050:-
70	sample1_nopolyA_ext70_cluster_2133	chr15	30530020	30530089	70:2	+	2	chr15	intron	30410650	30548976	+	.	NM_008729	Ctnnd2	Ctnnd2:chr15:30102348-30959098:+
70	sample1_nopolyA_ext70_cluster_2824	chr17	30560940	30561009	70:3	-	3	chr17	intron	30471278	30650500	-	.	NM_027060	Btbd9	Btbd9:chr17:30352469-30713232:-
70	sample1_nopolyA_ext70_cluster_2824	chr17	30560940	30561009	70:3	-	3	chr17	intron	30471278	30650500	-	.	NM_172618	Btbd9	Btbd9:chr17:30352469-30713232:-
70	sample1_nopolyA_ext70_cluster_2825	chr17	30609419	30609488	70:1	-	1	chr17	intron	30471278	30650500	-	.	NM_027060	Btbd9	Btbd9:chr17:30352469-30713232:-
70	sample1_nopolyA_ext70_cluster_2825	chr17	30609419	30609488	70:1	-	1	chr17	intron	30471278	30650500	-	.	NM_172618	Btbd9	Btbd9:chr17:30352469-30713232:-
70	sample1_nopolyA_ext70_cluster_1965	chr14	30816231	30816300	70:1	-	1	chr14	intron	30815601	30816746	-	.	NM_019583	Il17rb	Il17rb:chr14:30809354-30822082:-
70	sample1_nopolyA_ext70_cluster_4829	chr5	30827930	30827999	70:1	-	1	chr5	intron	30800547	30836562	-	.	NM_028483	Cib4	Cib4:chr5:30787957-30848209:-
70	sample1_nopolyA_ext70_cluster_3254	chr19	30901122	30901191	70:1	-	1	chr19	intron	30861462	30969121	-	.	NM_001013833	Prkg1	Prkg1:chr19:30642041-31839523:-
70	sample1_nopolyA_ext70_cluster_3254	chr19	30901122	30901191	70:1	-	1	chr19	intron	30861462	30969121	-	.	NM_011160	Prkg1	Prkg1:chr19:30642041-31839523:-
70	sample1_nopolyA_ext70_cluster_1344	chr12	30909783	30909852	70:1	-	1	chr12	intron	30886233	30911632	-	.	NM_172951	Sntg2	Sntg2:chr12:30859859-31058193:-
41	sample1_nopolyA_ext70_cluster_2687	chr17	30910537	30910606	70:1	+	1	chr17	CDS	30910474	30910577	+	1	NM_013811	Dnahc8	Dnahc8:chr17:30763881-31012209:+
41	sample1_nopolyA_ext70_cluster_2687	chr17	30910537	30910606	70:1	+	1	chr17	exon	30910474	30910577	+	1	NM_013811	Dnahc8	Dnahc8:chr17:30763881-31012209:+
29	sample1_nopolyA_ext70_cluster_2687	chr17	30910537	30910606	70:1	+	1	chr17	intron	30910578	30911890	+	.	NM_013811	Dnahc8	Dnahc8:chr17:30763881-31012209:+
70	sample1_nopolyA_ext70_cluster_1670	chr13	30917131	30917200	70:1	-	1	chr13	intron	30914624	30917907	-	.	NM_025588	Exoc2	Exoc2:chr13:30905787-31065916:-
70	sample1_nopolyA_ext70_cluster_5396	chr7	30917529	30917598	70:1	+	1	chr7	intron	30916644	30918281	+	.	NM_001081007	Zfp382	Zfp382:chr7:30906967-30920051:+
70	sample1_nopolyA_ext70_cluster_5593	chr7	30954385	30954454	70:2	-	2	chr7	intron	30948248	30954677	-	.	NM_011980	Zfp146	Zfp146:chr7:30946287-30954746:-
70	sample1_nopolyA_ext70_cluster_5594	chr7	30954858	30954927	70:1	-	1	chr7	2k_up	30954747	30956746	-	.	NM_011980	Zfp146	Zfp146:chr7:30946287-30954746:-
70	sample1_nopolyA_ext70_cluster_3601	chr2	30966740	30966809	70:1	-	1	chr2	intron	30960878	30997298	-	.	NM_001038700	Fnbp1	Fnbp1:chr2:30881726-30997526:-
70	sample1_nopolyA_ext70_cluster_3601	chr2	30966740	30966809	70:1	-	1	chr2	intron	30960878	30997298	-	.	NM_019406	Fnbp1	Fnbp1:chr2:30881726-30997526:-
70	sample1_nopolyA_ext70_cluster_1966	chr14	30981613	30981682	70:4	-	4	chr14	intron	30955904	30984481	-	.	NM_001083616	Cacna1d	Cacna1d:chr14:30853125-31304342:-
70	sample1_nopolyA_ext70_cluster_1966	chr14	30981613	30981682	70:4	-	4	chr14	intron	30955904	30984481	-	.	NM_028981	Cacna1d	Cacna1d:chr14:30853125-31304342:-
70	sample1_nopolyA_ext70_cluster_2688	chr17	31051325	31051394	70:1	+	1	chr17	intron	31046277	31055824	+	.	NM_021332	Glp1r	Glp1r:chr17:31038812-31073455:+
70	sample1_nopolyA_ext70_cluster_1967	chr14	31180366	31180435	70:1	-	1	chr14	intron	31164136	31304154	-	.	NM_028981	Cacna1d	Cacna1d:chr14:30853125-31304342:-
71	sample1_nopolyA_ext70_cluster_4622	chr5	31215997	31216067	1:21|69:33|1:12	+	33	chr5	2k_up	31214159	31216158	+	.	NM_133918	Emilin1	Emilin1:chr5:31216159-31223646:+
70	sample1_nopolyA_ext70_cluster_4623	chr5	31277698	31277767	70:2	+	2	chr5	exon	31275855	31279391	+	0	NM_053085	Tcf23	Tcf23:chr5:31271050-31279391:+
70	sample1_nopolyA_ext70_cluster_4623	chr5	31277698	31277767	70:2	+	2	chr5	3UTR	31276023	31279391	+	-1	NM_053085	Tcf23	Tcf23:chr5:31271050-31279391:+
70	sample1_nopolyA_ext70_cluster_3255	chr19	31321285	31321354	70:1	-	1	chr19	intron	31067653	31376775	-	.	NM_001013833	Prkg1	Prkg1:chr19:30642041-31839523:-
70	sample1_nopolyA_ext70_cluster_3255	chr19	31321285	31321354	70:1	-	1	chr19	intron	31067653	31376775	-	.	NM_011160	Prkg1	Prkg1:chr19:30642041-31839523:-
70	sample1_nopolyA_ext70_cluster_2389	chr16	31450980	31451049	70:3	+	3	chr16	intron	31450052	31455113	+	.	NM_001122683	Bdh1	Bdh1:chr16:31422383-31458987:+
70	sample1_nopolyA_ext70_cluster_2389	chr16	31450980	31451049	70:3	+	3	chr16	intron	31450052	31455113	+	.	NM_175177	Bdh1	Bdh1:chr16:31422383-31458987:+
70	sample1_nopolyA_ext70_cluster_2689	chr17	31460764	31460833	70:1	+	1	chr17	intron	31459211	31462610	+	.	NM_153062	Slc37a1	Slc37a1:chr17:31432428-31487643:+
70	sample1_nopolyA_ext70_cluster_3256	chr19	31462866	31462935	70:2	-	2	chr19	intron	31376890	31660056	-	.	NM_001013833	Prkg1	Prkg1:chr19:30642041-31839523:-
70	sample1_nopolyA_ext70_cluster_3256	chr19	31462866	31462935	70:2	-	2	chr19	intron	31376890	31660056	-	.	NM_011160	Prkg1	Prkg1:chr19:30642041-31839523:-
70	sample1_nopolyA_ext70_cluster_4831	chr5	31561744	31561813	70:1	-	1	chr5	intron	31560286	31562766	-	.	NM_026298	Ift172	Ift172:chr5:31555652-31593487:-
70	sample1_nopolyA_ext70_cluster_4832	chr5	31592579	31592648	70:2	-	2	chr5	intron	31589411	31593346	-	.	NM_026298	Ift172	Ift172:chr5:31555652-31593487:-
71	sample1_nopolyA_ext70_cluster_2827	chr17	31641391	31641461	1:16|69:31|1:15	-	31	chr17	intron	31640612	31646713	-	.	NM_021322	Wdr4	Wdr4:chr17:31631268-31649432:-
70	sample1_nopolyA_ext70_cluster_2390	chr16	31697293	31697362	70:1	+	1	chr16	intron	31684381	31743191	+	.	NM_007862	Dlg1	Dlg1:chr16:31664125-31873430:+
70	sample1_nopolyA_ext70_cluster_2947	chr18	31825233	31825302	70:3	+	3	chr18	intron	31813281	31825994	+	.	NM_172965	Sap130	Sap130:chr18:31794037-31882715:+
70	sample1_nopolyA_ext70_cluster_1969	chr14	31831148	31831217	70:2	-	2	chr14	intron	31831053	31832114	-	.	NM_153547	Gnl3	Gnl3:chr14:31825619-31832275:-
70	sample1_nopolyA_ext70_cluster_651	chr10	31880075	31880144	70:1	-	1	chr10	intron	31671126	32049570	-	.	NM_001013411	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_651	chr10	31880075	31880144	70:1	-	1	chr10	intron	31671126	32049570	-	.	NM_001025286	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_652	chr10	31909040	31909109	70:1	-	1	chr10	intron	31671126	32049570	-	.	NM_001013411	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_652	chr10	31909040	31909109	70:1	-	1	chr10	intron	31671126	32049570	-	.	NM_001025286	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_3844	chr3	31931604	31931673	70:1	+	1	chr3	intron	31807434	32054968	+	.	NM_028231	Kcnmb2	Kcnmb2:chr3:31801625-32099102:+
70	sample1_nopolyA_ext70_cluster_2391	chr16	31933974	31934043	70:1	+	1	chr16	5UTR	31933937	31934129	+	-1	NM_172822	Pigz	Pigz:chr16:31933937-31946132:+
70	sample1_nopolyA_ext70_cluster_2391	chr16	31933974	31934043	70:1	+	1	chr16	exon	31933937	31934129	+	-1	NM_172822	Pigz	Pigz:chr16:31933937-31946132:+
70	sample1_nopolyA_ext70_cluster_1191	chr12	31982240	31982309	70:1	+	1	chr12	intron	31974287	31982490	+	.	NM_008482	Lamb1-1	Lamb1-1:chr12:31950159-32014504:+
70	sample1_nopolyA_ext70_cluster_653	chr10	32010589	32010658	70:2	-	2	chr10	intron	31671126	32049570	-	.	NM_001013411	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_653	chr10	32010589	32010658	70:2	-	2	chr10	intron	31671126	32049570	-	.	NM_001025286	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_2536	chr16	32020159	32020228	70:1	-	1	chr16	3UTR	32017949	32020266	-	-1	NM_177326	Pak2	Pak2:chr16:32017949-32079359:-
70	sample1_nopolyA_ext70_cluster_2536	chr16	32020159	32020228	70:1	-	1	chr16	exon	32017949	32020352	-	0	NM_177326	Pak2	Pak2:chr16:32017949-32079359:-
70	sample1_nopolyA_ext70_cluster_6116	chr9	32033196	32033265	70:2	+	2	chr9	intron	32015851	32046846	+	.	NM_177379	Grit	Grit:chr9:32015785-32068869:+
70	sample1_nopolyA_ext70_cluster_2537	chr16	32041477	32041546	70:4	-	4	chr16	intron	32040018	32041553	-	.	NM_177326	Pak2	Pak2:chr16:32017949-32079359:-
70	sample1_nopolyA_ext70_cluster_2829	chr17	32107301	32107370	70:1	-	1	chr17	intron	32083757	32124292	-	.	NM_028902	Hsf2bp	Hsf2bp:chr17:32081714-32171453:-
70	sample1_nopolyA_ext70_cluster_5214	chr6	32116241	32116310	70:1	-	1	chr6	intron	32115862	32128350	-	.	NM_175750	Plxna4	Plxna4:chr6:32094559-32538192:-
70	sample1_nopolyA_ext70_cluster_654	chr10	32152723	32152792	70:1	-	1	chr10	intron	32122180	32609448	-	.	NM_001013411	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_654	chr10	32152723	32152792	70:1	-	1	chr10	intron	32122180	32609448	-	.	NM_001025286	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_2949	chr18	32257367	32257436	70:1	+	1	chr18	exon	32256804	32263985	+	0	NM_173441	Iws1	Iws1:chr18:32227388-32263985:+
70	sample1_nopolyA_ext70_cluster_2949	chr18	32257367	32257436	70:1	+	1	chr18	3UTR	32256936	32263985	+	-1	NM_173441	Iws1	Iws1:chr18:32227388-32263985:+
72	sample1_nopolyA_ext70_cluster_6302	chr9	32258536	32258607	1:40|1:68|68:70|1:30|1:2	-	70	chr9	intron	32237559	32259717	-	.	NM_008026	Fli1	Fli1:chr9:32229793-32348953:-
70	sample1_nopolyA_ext70_cluster_3257	chr19	32275080	32275149	70:3	-	3	chr19	intron	32234854	32297998	-	.	NM_144792	Sgms1	Sgms1:chr19:32197221-32322525:-
70	sample1_nopolyA_ext70_cluster_803	chr11	32326891	32326960	70:3	+	3	chr11	exon	32322023	32328183	+	0	NM_177364	Sh3pxd2b	Sh3pxd2b:chr11:32247811-32328183:+
70	sample1_nopolyA_ext70_cluster_803	chr11	32326891	32326960	70:3	+	3	chr11	3UTR	32323562	32328183	+	-1	NM_177364	Sh3pxd2b	Sh3pxd2b:chr11:32247811-32328183:+
70	sample1_nopolyA_ext70_cluster_655	chr10	32445054	32445123	70:3	-	3	chr10	intron	32122180	32609448	-	.	NM_001013411	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_655	chr10	32445054	32445123	70:3	-	3	chr10	intron	32122180	32609448	-	.	NM_001025286	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_804	chr11	32450233	32450302	70:1	+	1	chr11	intron	32433560	32455123	+	.	NM_009288	Stk10	Stk10:chr11:32433266-32524595:+
70	sample1_nopolyA_ext70_cluster_1822	chr14	32474697	32474766	70:1	+	1	chr14	intron	32454322	32475255	+	.	NM_025295	Btd	Btd:chr14:32454251-32481369:+
70	sample1_nopolyA_ext70_cluster_805	chr11	32502037	32502106	70:1	+	1	chr11	intron	32500872	32503666	+	.	NM_009288	Stk10	Stk10:chr11:32433266-32524595:+
70	sample1_nopolyA_ext70_cluster_656	chr10	32522480	32522549	70:1	-	1	chr10	intron	32122180	32609448	-	.	NM_001013411	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_656	chr10	32522480	32522549	70:1	-	1	chr10	intron	32122180	32609448	-	.	NM_001025286	Nkain2	Nkain2:chr10:31409126-32609721:-
70	sample1_nopolyA_ext70_cluster_4193	chr4	32523748	32523817	70:2	+	2	chr4	intron	32504559	32588587	+	.	NM_001109661	Bach2	Bach2:chr4:32325925-32673083:+
70	sample1_nopolyA_ext70_cluster_4193	chr4	32523748	32523817	70:2	+	2	chr4	intron	32504559	32588587	+	.	NM_007521	Bach2	Bach2:chr4:32325925-32673083:+
70	sample1_nopolyA_ext70_cluster_3358	chr2	32591297	32591366	70:5	+	5	chr2	intron	32580920	32593038	+	.	NM_013781	Sh2d3c	Sh2d3c:chr2:32576592-32610514:+
70	sample1_nopolyA_ext70_cluster_2393	chr16	32632152	32632221	70:1	+	1	chr16	exon	32630180	32632876	+	0	NM_011638	Tfrc	Tfrc:chr16:32609107-32632876:+
70	sample1_nopolyA_ext70_cluster_2393	chr16	32632152	32632221	70:1	+	1	chr16	3UTR	32630423	32632876	+	-1	NM_011638	Tfrc	Tfrc:chr16:32609107-32632876:+
70	sample1_nopolyA_ext70_cluster_4625	chr5	32658824	32658893	70:1	+	1	chr5	intron	32657786	32664899	+	.	NM_001081407	Plb1	Plb1:chr5:32535081-32666729:+
70	sample1_nopolyA_ext70_cluster_4625	chr5	32658824	32658893	70:1	+	1	chr5	intron	32657786	32664899	+	.	NM_172147	Plb1	Plb1:chr5:32535081-32666729:+
72	sample1_nopolyA_ext70_cluster_3605	chr2	32695035	32695106	1:85|1:794|68:796|1:711|1:2	-	796	chr2	intron	32679106	32702574	-	.	NM_001113569	Stxbp1	Stxbp1:chr2:32643127-32702757:-
72	sample1_nopolyA_ext70_cluster_3605	chr2	32695035	32695106	1:85|1:794|68:796|1:711|1:2	-	796	chr2	intron	32679106	32702574	-	.	NM_009295	Stxbp1	Stxbp1:chr2:32643127-32702757:-
